rank,release_date,title,url,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,graph,status
1,18-07-2001,Jurassic Park III,/movie/Jurassic-Park-3#tab=summary,93000000,181166115,365900000,50771645,PG-13,Action,3470,93,,PROFIT
2,28-06-2013,White House Down,/movie/White-House-Down#tab=summary,150000000,73103784,205440387,24852258,PG-13,Thriller/Suspense,3222,131,,PROFIT
3,15-08-2012,The Expendables 2,/movie/Expendables-2-The#tab=summary,100000000,85028192,311979256,28591370,R,Action,3355,103,,PROFIT
4,02-04-2004,Home on the Range,/movie/Home-on-the-Range#tab=summary,110000000,50026353,76482461,13880771,PG,Adventure,3058,76,,LOSS
5,24-06-2009,Transformers: Revenge of the Fallen,/movie/Transformers-Revenge-of-the-Fallen#tab=summary,210000000,402111870,836519699,108966307,PG-13,Action,4293,149,,PROFIT
6,20-06-2003,Hulk,/movie/Hulk#tab=summary,137000000,132177234,245031679,62128420,PG-13,Action,3674,138,,PROFIT
7,19-05-1999,Star Wars Ep. I: The Phantom Menace,/movie/Star-Wars-Ep-I-The-Phantom-Menace#tab=summary,115000000,474544677,1027044677,64810970,PG,Adventure,3126,133,,PROFIT
8,24-09-2010,Legend of the Guardians: The Owls of Ga'Hoole,/movie/Legend-of-the-Guardians-The-Owls-of-GaHoole#tab=summary,100000000,55675313,139716717,16112211,PG,Adventure,3575,90,,PROFIT
9,11-07-2023,Mission: Impossible Dead Reckoning Part One,/movie/Mission-Impossible-Dead-Reckoning-Part-One-(2023)#tab=summary,290000000,0,0,NA,NA,Action,NA,NA,,
10,17-10-2019,Maleficent: Mistress of Evil,/movie/Maleficent-Mistress-of-Evil-(2019)#tab=summary,185000000,113929605,489346495,36948713,PG,Adventure,3820,118,,PROFIT
11,23-03-2016,Batman v Superman: Dawn of Justice,/movie/Batman-v-Superman-Dawn-of-Justice#tab=summary,263000000,330360194,872395,166007347,PG-13,Action,4256,151,,LOSS
12,20-03-2014,Rio 2,/movie/Rio-2#tab=summary,130000000,131538435,492846291,39327869,G,Adventure,3975,101,,PROFIT
13,14-12-2016,Rogue One: A Star Wars Story,/movie/Rogue-One-A-Star-Wars-Story#tab=summary,200000000,533539991,1055083596,155081681,PG-13,Adventure,4157,134,,PROFIT
14,17-07-2013,Turbo,/movie/Turbo#tab=summary,135000000,83028130,286896578,21312625,PG,Adventure,3809,96,,PROFIT
15,08-05-2009,Star Trek,/movie/Star-Trek#tab=summary,140000000,257730019,386839614,79204289,PG-13,Adventure,4053,125,,PROFIT
16,03-07-2002,Men in Black 2,/movie/Men-in-Black-2#tab=summary,140000000,190418803,441767803,52148751,PG-13,Action,3641,86,,PROFIT
17,11-06-2010,The A-Team,/movie/A-Team-The#tab=summary,110000000,77222099,177241171,25669455,PG-13,Action,3544,118,,PROFIT
18,21-07-2016,Star Trek Beyond,/movie/Star-Trek-Beyond#tab=summary,185000000,158848340,335673708,59253211,PG-13,Adventure,3928,122,,PROFIT
19,24-03-2017,Power Rangers,/movie/Power-Rangers-(2017)#tab=summary,120000000,85364450,1425315,40300288,PG-13,Action,3693,124,,LOSS
20,01-11-2012,Wreck-It Ralph,/movie/Wreck-It-Ralph#tab=summary,165000000,189412677,4965111,49038712,PG,Adventure,3752,101,,LOSS
21,28-03-2012,Wrath of the Titans,/movie/Wrath-of-the-Titans#tab=summary,150000000,83670083,305270083,33457188,PG-13,Adventure,3545,99,,PROFIT
22,01-02-2019,Alita: Battle Angel,/movie/Alita-Battle-Angel-(2019)#tab=summary,170000000,85838210,401900040,28525613,PG-13,Action,3802,122,,PROFIT
23,26-05-2006,X-Men: The Last Stand,/movie/X-Men-The-Last-Stand#tab=summary,210000000,234362462,459260946,102750665,PG-13,Action,3714,104,,PROFIT
24,02-07-1991,Terminator 2: Judgment Day,/movie/Terminator-2-Judgment-Day#tab=summary,100000000,203464105,515376182,31765506,R,Action,2495,136,,PROFIT
25,05-05-2004,Van Helsing,/movie/Van-Helsing#tab=summary,170000000,120150546,300150546,51748040,PG-13,Action,3580,132,,PROFIT
26,03-11-2021,Eternals,/movie/Eternals-(2021)#tab=summary,200000000,164870264,402064929,71297219,PG-13,Action,4090,156,,PROFIT
27,13-10-2021,The Last Duel,/movie/Last-Duel-The#tab=summary,100000000,10853945,30055233,4759151,R,Drama,3065,153,,LOSS
28,25-12-2015,The Revenant,/movie/Revenant-The-(2015)#tab=summary,135000000,183637894,532938302,474560,R,Adventure,3711,156,,PROFIT
29,12-11-2009,2012,/movie/2012#tab=summary,200000000,166112167,757677748,65237614,PG-13,Action,3444,158,,PROFIT
30,03-08-2007,The Bourne Ultimatum,/movie/Bourne-Ultimatum-The#tab=summary,130000000,227471070,444043396,69283690,PG-13,Thriller/Suspense,3701,113,,PROFIT
31,01-04-2015,Furious 7,/movie/Furious-7#tab=summary,190000000,353007020,1514553486,147187040,PG-13,Action,4022,137,,PROFIT
32,06-06-2008,Kung Fu Panda,/movie/Kung-Fu-Panda#tab=summary,130000000,215434591,631910531,60239130,PG,Adventure,4136,91,,PROFIT
33,19-06-2013,World War Z,/movie/World-War-Z#tab=summary,190000000,202706711,531861650,66411834,PG-13,Action,3607,115,,PROFIT
34,20-06-2019,Toy Story 4,/movie/Toy-Story-4-(2019)#tab=summary,200000000,434038008,1073080329,120908065,G,Adventure,4575,89,,PROFIT
35,24-05-2000,Mission: Impossible 2,/movie/Mission-Impossible-2#tab=summary,120000000,215409889,549588516,57845297,PG-13,Action,3669,126,,PROFIT
36,24-02-2016,Gods of Egypt,/movie/Gods-of-Egypt#tab=summary,140000000,31153464,138836756,14123903,PG-13,Adventure,3117,127,,LOSS
37,18-12-2003,Peter Pan,/movie/Peter-Pan-(2003)#tab=summary,100000000,48417850,95255485,11139495,PG,Adventure,2813,113,,LOSS
38,31-07-2014,Guardians of the Galaxy,/movie/Guardians-of-the-Galaxy#tab=summary,170000000,333714112,770882395,94320883,PG-13,Action,4088,121,,PROFIT
39,13-12-2018,Bumblebee,/movie/Bumblebee#tab=summary,102000000,127195589,465195589,21654047,PG-13,Adventure,3597,114,,PROFIT
40,24-05-2007,Pirates of the Caribbean: At World’s End,/movie/Pirates-of-the-Caribbean-At-Worlds-End#tab=summary,300000000,309420425,960996492,114732820,PG-13,Adventure,4362,167,,PROFIT
41,28-03-2014,Captain America: The Winter Soldier,/movie/Captain-America-The-Winter-Soldier#tab=summary,170000000,259746958,714401889,95023721,PG-13,Action,3938,135,,PROFIT
42,18-12-2002,The Lord of the Rings: The Two Towers,/movie/Lord-of-the-Rings-The-Two-Towers-The#tab=summary,94000000,342548984,919148764,62007528,PG-13,Adventure,3622,179,,PROFIT
43,18-09-2009,Cloudy with a Chance of Meatballs,/movie/Cloudy-with-a-Chance-of-Meatballs#tab=summary,100000000,124870275,236827677,30304648,PG,Adventure,3119,90,,PROFIT
44,28-04-2017,Guardians of the Galaxy Vol 2,/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary,200000000,389813101,869113101,146510104,PG-13,Action,4347,136,,PROFIT
45,14-07-2015,Ant-Man,/movie/Ant-Man#tab=summary,130000000,180202163,518858449,57225526,PG-13,Action,3868,117,,PROFIT
46,15-06-2005,Batman Begins,/movie/Batman-Begins#tab=summary,150000000,205343774,358858124,48745440,PG-13,Action,3858,140,,PROFIT
47,05-12-2014,Exodus: Gods and Kings,/movie/Exodus-Gods-and-Kings#tab=summary,140000000,65014513,268314513,24115934,PG-13,Drama,3503,150,,PROFIT
48,31-03-2000,The Road to El Dorado,/movie/Road-to-El-Dorado-The#tab=summary,95000000,50802661,65700000,12846652,PG,Adventure,3223,89,,LOSS
49,16-12-2020,Wonder Woman 1984,/movie/Wonder-Woman-1984-(2020)#tab=summary,200000000,46801036,166360232,16701957,PG-13,Action,2218,151,,LOSS
50,26-07-2013,The Wolverine,/movie/Wolverine-The#tab=summary,115000000,132556852,416456852,53113752,PG-13,Action,3924,126,,PROFIT
51,26-10-2012,Skyfall,/movie/Skyfall#tab=summary,200000000,304360277,1110526981,88364714,PG-13,Action,3526,143,,PROFIT
52,31-05-2004,Harry Potter and the Prisoner of Azkaban,/movie/Harry-Potter-and-the-Prisoner-of-Azkaban#tab=summary,130000000,249757726,789592708,93687367,PG,Adventure,3855,141,,PROFIT
53,23-06-2010,Knight and Day,/movie/Knight-and-Day#tab=summary,117000000,76423035,258751370,20139985,PG-13,Action,3104,109,,PROFIT
54,20-05-2011,Pirates of the Caribbean: On Stranger Tides,/movie/Pirates-of-the-Caribbean-On-Stranger-Tides#tab=summary,379000000,241071802,1045713802,90151958,PG-13,Adventure,4164,136,,PROFIT
55,15-12-2006,Eragon,/movie/Eragon#tab=summary,100000000,75030163,249488115,23239907,PG,Adventure,3030,104,,PROFIT
56,18-12-2014,Night at the Museum: Secret of the Tomb,/movie/Night-at-the-Museum-Secret-of-the-Tomb#tab=summary,127000000,113746621,353756621,17100520,PG,Adventure,3914,97,,PROFIT
57,22-05-2019,Aladdin,/movie/Aladdin-(2019)#tab=summary,182000000,355559216,1046649706,91500929,PG,Adventure,4476,128,,PROFIT
58,05-11-2015,The Peanuts Movie,/movie/Peanuts-Movie-The#tab=summary,99000000,130178411,250091610,44213073,G,Adventure,3902,89,,PROFIT
59,02-12-2015,Point Break,/movie/Point-Break-(Remake)#tab=summary,100000000,28782481,126704591,9800252,PG-13,Action,2910,113,,PROFIT
60,16-06-2016,Finding Dory,/movie/Finding-Dory#tab=summary,200000000,486295561,1025006125,135060273,PG,Adventure,4305,103,,PROFIT
61,10-08-2007,Rush Hour 3,/movie/Rush-Hour-3#tab=summary,180000000,140125968,256585882,49100158,PG-13,Action,3778,91,,PROFIT
62,19-05-1998,Godzilla,/movie/Godzilla#tab=summary,125000000,136314294,376000000,93188384,PG-13,Action,3952,123,,PROFIT
63,03-01-2019,How to Train Your Dragon: The Hidden World,/movie/How-to-Train-Your-Dragon-The-Hidden-World-(2019)#tab=summary,129000000,160799505,521214533,55022245,PG,Adventure,4286,104,,PROFIT
64,03-08-2012,Total Recall,/movie/Total-Recall-(Remake)#tab=summary,125000000,58877969,211856088,25577758,PG-13,Action,3601,117,,PROFIT
65,20-11-2012,Rise of the Guardians,/movie/Rise-of-the-Guardians#tab=summary,145000000,103412758,306900902,23773465,PG,Adventure,3672,97,,PROFIT
66,23-01-2016,Kung Fu Panda 3,/movie/Kung-Fu-Panda-3#tab=summary,140000000,143528619,521170825,41282042,PG,Adventure,3987,94,,PROFIT
67,17-12-2010,How Do You Know?,/movie/How-Do-You-Know#tab=summary,120000000,30212620,49628177,7484696,R,Romantic Comedy,2483,121,,LOSS
68,14-11-2012,"The Twilight Saga: Breaking Dawn, Part 2",/movie/Twilight-Saga-Breaking-Dawn-Part-2-The#tab=summary,136200000,292324737,829724737,141067634,PG-13,Drama,4070,115,,PROFIT
69,05-06-2019,Dark Phoenix,/movie/Dark-Phoenix-(2019)#tab=summary,200000000,65845974,246356895,32828348,PG-13,Action,3721,114,,PROFIT
70,01-07-2022,Thor: Love and Thunder,/movie/Thor-Love-and-Thunder-(2022)#tab=summary,250000000,343256830,745453552,144165107,PG-13,Action,4375,119,,PROFIT
71,09-04-2018,Rampage,/movie/Rampage-(2018)#tab=summary,120000000,101028233,427947217,35753093,PG-13,Action,4115,107,,PROFIT
72,22-12-2006,Night at the Museum,/movie/Night-at-the-Museum#tab=summary,110000000,250863268,579446407,30433781,PG,Adventure,3768,108,,PROFIT
73,01-07-1998,Armageddon,/movie/Armageddon#tab=summary,140000000,201578182,554600000,36089972,PG-13,Adventure,3184,150,,PROFIT
74,07-04-2017,The Fate of the Furious,/movie/Fate-of-the-Furious-The#tab=summary,250000000,225764765,1236703796,98786705,PG-13,Action,4329,136,,PROFIT
75,03-10-2013,Gravity,/movie/Gravity#tab=summary,110000000,274092705,688214291,55785112,PG-13,Thriller/Suspense,3820,91,,PROFIT
76,09-05-1997,The Fifth Element,/movie/Fifth-Element-The#tab=summary,95000000,63570862,263893838,17031345,PG-13,Action,2500,126,,PROFIT
77,20-05-2021,F9: The Fast Saga,/movie/F9-The-Fast-Saga-(2021)#tab=summary,200000000,173005945,721077945,70043165,PG-13,Action,4203,145,,PROFIT
78,27-02-2013,Jack the Giant Slayer,/movie/Jack-the-Giant-Slayer#tab=summary,195000000,65187603,197687603,27202226,PG-13,Adventure,3525,113,,PROFIT
79,06-04-2022,Fantastic Beasts: The Secrets of Dumbledore,/movie/Fantastic-Beasts-The-Secrets-of-Dumbledore-(2021)#tab=summary,200000000,95850844,404560146,42151256,PG-13,Adventure,4245,NA,,
80,21-12-2016,Passengers,/movie/Passengers-(2015)#tab=summary,110000000,100014699,302239672,14869736,PG-13,Thriller/Suspense,3478,116,,PROFIT
81,23-06-2011,Cars 2,/movie/Cars-2#tab=summary,200000000,191450875,560155383,66135507,G,Adventure,4115,107,,PROFIT
82,27-06-2019,Spider-Man: Far From Home,/movie/Spider-Man-Far-From-Home-(2019)#tab=summary,160000000,390532085,1132532832,92579212,PG-13,Action,4634,129,,PROFIT
83,06-02-2019,The LEGO Movie 2: The Second Part,/movie/Lego-Movie-2-The-Second-Part-The-(2019)#tab=summary,99000000,105806508,190131036,34115335,PG,Adventure,4303,107,,PROFIT
84,04-09-2020,Mulan,/movie/Mulan-(2020)#tab=summary,200000000,0,69965374,NA,PG-13,Adventure,NA,115,,
85,02-07-2021,The Tomorrow War,/movie/Tomorrow-War-The#tab=summary,200000000,0,19220000,NA,PG-13,Action,NA,140,,
86,13-07-2022,The Gray Man,/movie/Gray-Man-The-(2022)#tab=summary,200000000,0,451178,NA,PG-13,Thriller/Suspense,NA,129,,
87,31-07-2019,Fast & Furious Presents: Hobbs & Shaw,/movie/Fast-and-Furious-Presents-Hobbs-and-Shaw-(2019)#tab=summary,200000000,173956935,760381706,60038950,PG-13,Action,4344,134,,PROFIT
88,16-06-1999,Tarzan,/movie/Tarzan#tab=summary,145000000,171091819,448191819,34221968,G,Adventure,3131,88,,PROFIT
89,01-09-2021,Shang-Chi and the Legend of the Ten Rings,/movie/Shang-Chi-and-the-Legend-of-the-Ten-Rings-(2021)#tab=summary,150000000,224543292,432243292,75388688,PG-13,Action,4300,132,,PROFIT
90,25-10-2017,Thor: Ragnarok,/movie/Thor-Ragnarok#tab=summary,180000000,315058289,850482778,122744989,PG-13,Action,4080,130,,PROFIT
91,06-03-2015,Cinderella,/movie/Cinderella-(2015)#tab=summary,95000000,201151353,542351353,67877361,PG,Drama,3848,105,,PROFIT
92,10-08-2012,The Bourne Legacy,/movie/Bourne-Legacy-The#tab=summary,125000000,113203870,280355920,38142825,PG-13,Thriller/Suspense,3753,135,,PROFIT
93,11-07-2008,The Dark Knight,/movie/Dark-Knight-The#tab=summary,185000000,533720947,998615789,158411483,PG-13,Action,4366,152,,PROFIT
94,12-12-2013,The Hobbit: The Desolation of Smaug,/movie/Hobbit-The-Desolation-of-Smaug-The#tab=summary,250000000,258241522,959358436,73645197,PG-13,Adventure,3928,201,,PROFIT
95,29-07-2011,The Smurfs,/movie/Smurfs-The#tab=summary,110000000,142614158,563749323,35611637,PG,Adventure,3427,103,,PROFIT
96,21-11-2018,Ralph Breaks The Internet,/movie/Ralph-Breaks-The-Internet-(2018)#tab=summary,175000000,201091711,529290830,56237634,PG,Adventure,4017,112,,PROFIT
97,13-12-2017,Star Wars Ep. VIII: The Last Jedi,/movie/Star-Wars-Ep-VIII-The-Last-Jedi#tab=summary,262000000,620181382,1331635141,220009584,PG-13,Adventure,4232,150,,PROFIT
98,08-06-2007,Surf’s Up,/movie/Surfs-Up-(2007)#tab=summary,100000000,58867694,145395745,17640249,PG,Adventure,3531,85,,PROFIT
99,14-02-2008,The Spiderwick Chronicles,/movie/Spiderwick-Chronicles-The#tab=summary,92500000,71195053,162839667,19004058,PG,Adventure,3847,96,,PROFIT
100,20-05-2016,Alice Through the Looking Glass,/movie/Alice-Through-the-Looking-Glass#tab=summary,170000000,77042381,276928112,26858726,PG,Adventure,3763,113,,PROFIT
101,18-03-2015,The Divergent Series: Insurgent,/movie/Divergent-Series-Insurgent-The#tab=summary,110000000,130179072,295075882,52263680,PG-13,Action,3875,118,,PROFIT
102,30-09-2021,Venom: Let There be Carnage,/movie/Venom-Let-There-be-Carnage#tab=summary,110000000,213550366,501600379,90033210,PG-13,Action,4225,97,,PROFIT
103,28-10-2011,Puss in Boots,/movie/Puss-in-Boots#tab=summary,130000000,149260504,554987477,34077439,PG,Adventure,3963,90,,PROFIT
104,09-08-2013,Elysium,/movie/Elysium#tab=summary,120000000,93050117,286192091,29807393,R,Action,3284,109,,PROFIT
105,15-07-2009,Harry Potter and the Half-Blood Prince,/movie/Harry-Potter-and-the-Half-Blood-Prince#tab=summary,250000000,302089278,929411069,77835727,PG,Adventure,4455,153,,PROFIT
106,22-06-2016,Independence Day: Resurgence,/movie/Independence-Day-Resurgence#tab=summary,165000000,103144286,384169424,41039944,PG-13,Action,4091,119,,PROFIT
107,23-05-2012,Men in Black 3,/movie/Men-in-Black-3#tab=summary,215000000,179020854,654213485,54592779,PG-13,Adventure,4248,104,,PROFIT
108,07-10-2011,Real Steel,/movie/Real-Steel#tab=summary,110000000,85463309,263880341,27319677,PG-13,Action,3440,126,,PROFIT
109,15-11-2002,Harry Potter and the Chamber of Secrets,/movie/Harry-Potter-and-the-Chamber-of-Secrets#tab=summary,100000000,262233381,875262553,88357488,PG,Adventure,3682,161,,PROFIT
110,09-12-2005,"The Chronicles of Narnia: The Lion, the Witch a…",/movie/Chronicles-of-Narnia-The-Lion-the-Witch-and-the-Wardrobe-The#tab=summary,180000000,291710957,720539572,NA,NA,NA,NA,NA,,
111,29-09-2021,No Time to Die,/movie/No-Time-to-Die-(2021)#tab=summary,250000000,160891007,760008036,55225007,PG-13,Action,4407,163,,PROFIT
112,19-05-2005,Star Wars Ep. III: Revenge of the Sith,/movie/Star-Wars-Ep-III-Revenge-of-the-Sith#tab=summary,115000000,380270577,848998877,108435841,PG-13,Adventure,3663,139,,PROFIT
113,04-05-2001,The Mummy Returns,/movie/Mummy-Returns-The#tab=summary,98000000,202007640,435040395,68139035,PG-13,Adventure,3553,129,,PROFIT
114,12-11-2010,Unstoppable,/movie/Unstoppable#tab=summary,95000000,81562942,165720921,22688457,PG-13,Action,3261,98,,PROFIT
115,28-02-2020,Onward,/movie/Onward-(2020)#tab=summary,200000000,61555145,133317030,39119861,PG,Adventure,4310,114,,LOSS
116,01-07-2008,Hancock,/movie/Hancock-(2008)#tab=summary,150000000,227946274,624234272,62603879,PG-13,Action,3965,92,,PROFIT
117,05-07-2017,Spider-Man: Homecoming,/movie/Spider-Man-Homecoming#tab=summary,175000000,334201140,878346440,117027503,PG-13,Action,4348,133,,PROFIT
118,21-12-2005,Fun With Dick And Jane,/movie/Fun-With-Dick-And-Jane#tab=summary,140000000,110550000,203018919,14383515,PG-13,Comedy,3239,90,,PROFIT
119,24-06-2005,War of the Worlds,/movie/War-of-the-Worlds#tab=summary,132000000,234280354,606836535,64878725,PG-13,Action,3910,116,,PROFIT
120,09-03-2016,The Divergent Series: Allegiant,/movie/Divergent-Series-Allegiant-The#tab=summary,110000000,66184051,172022517,29027348,PG-13,Action,3740,120,,PROFIT
121,16-06-1995,Batman Forever,/movie/Batman-Forever-(1995)#tab=summary,100000000,184031112,336529144,52784433,PG-13,Action,2893,122,,PROFIT
122,04-05-2022,Doctor Strange in the Multiverse of Madness,/movie/Doctor-Strange-in-the-Multiverse-of-Madness-(2022)#tab=summary,200000000,411331607,952224986,187420998,PG-13,Action,4534,126,,PROFIT
123,14-07-2010,The Sorcerer's Apprentice,/movie/Sorcerers-Apprentice-The#tab=summary,160000000,63150991,217986320,17619622,PG,Adventure,3504,108,,PROFIT
124,10-12-2014,The Hobbit: The Battle of the Five Armies,/movie/Hobbit-The-Battle-of-the-Five-Armies-The#tab=summary,250000000,255119788,940389558,54724334,PG-13,Adventure,3875,144,,PROFIT
125,21-06-1996,Eraser,/movie/Eraser#tab=summary,100000000,101295562,234400000,24566446,R,Action,2556,114,,PROFIT
126,08-01-2020,Dolittle,/movie/Dolittle#tab=summary,175000000,77047065,251410631,21844045,PG,Adventure,4155,103,,PROFIT
127,19-09-2017,Kingsman: The Golden Circle,/movie/Kingsman-The-Golden-Circle#tab=summary,104000000,100234838,408803696,39023010,R,Action,4038,141,,PROFIT
128,30-06-2016,Ben-Hur,/movie/Ben-Hur-(2016)#tab=summary,95000000,26410477,91669648,11203815,PG-13,Adventure,3084,123,,LOSS
129,12-02-2010,Percy Jackson & the Olympians: The Lightning Thief,/movie/Percy-Jackson-and-the-Lightning-Thief#tab=summary,95000000,88768303,223050874,31236067,PG,Adventure,3396,119,,PROFIT
130,13-07-2016,Ghostbusters,/movie/Ghostbusters-(2016)#tab=summary,144000000,128350574,229008658,46018755,PG-13,Comedy,3963,117,,PROFIT
131,19-12-2014,Seventh Son,/movie/Seventh-Son#tab=summary,95000000,17725785,108874967,7217640,PG-13,Adventure,2875,102,,PROFIT
132,14-12-2011,Mission: Impossible—Ghost Protocol,/movie/Mission-Impossible-Ghost-Protocol#tab=summary,145000000,209397903,694713230,12785204,PG-13,Action,3555,132,,PROFIT
133,01-05-2009,X-Men Origins: Wolverine,/movie/X-Men-Origins-Wolverine#tab=summary,150000000,179883157,374825760,85058003,PG-13,Action,4102,107,,PROFIT
134,14-07-2021,Space Jam: A New Legacy,/movie/Space-Jam-A-New-Legacy#tab=summary,150000000,70592228,144003749,31053362,PG,Comedy,4002,115,,LOSS
135,22-05-2009,Night at the Museum: Battle of the Smithsonian,/movie/Night-at-the-Museum-Battle-of-the-Smithsonian#tab=summary,150000000,177243721,402231063,54173286,PG,Adventure,4101,105,,PROFIT
136,30-04-2003,X-Men 2,/movie/X-Men-2-(2003)#tab=summary,125000000,214949694,406348630,85558731,PG-13,Action,3749,135,,PROFIT
137,17-06-2011,Green Lantern,/movie/Green-Lantern-(2011)#tab=summary,200000000,116601172,219535492,53174303,PG-13,Action,3816,113,,PROFIT
138,23-07-2004,Catwoman,/movie/Catwoman#tab=summary,100000000,40202379,82078046,16728411,PG-13,Action,3117,101,,LOSS
139,15-12-2016,The Great Wall,/movie/Great-Wall-The#tab=summary,150000000,45157105,334486852,18469620,PG-13,Action,3328,104,,PROFIT
140,09-06-2000,Gone in 60 Seconds,/movie/Gone-in-60-Seconds#tab=summary,103300000,101643008,232643008,25336048,PG-13,Action,3089,117,,PROFIT
141,10-03-2022,Turning Red,/movie/Turning-Red-(2022)#tab=summary,175000000,0,10965045,NA,PG,Adventure,NA,100,,
142,28-12-2001,Black Hawk Down,/movie/Black-Hawk-Down#tab=summary,95000000,108638745,159691085,179823,R,Action,3143,144,,PROFIT
143,22-12-2021,The King’s Man,/movie/Kings-Man-The-(2020)#tab=summary,100000000,37176373,121125300,5915542,R,Action,3180,131,,PROFIT
144,27-05-2004,The Day After Tomorrow,/movie/Day-After-Tomorrow-The#tab=summary,125000000,186740799,555840117,68743584,PG-13,Adventure,3444,123,,PROFIT
145,20-07-2017,Valerian and the City of a Thousand Planets,/movie/Valerian-and-the-City-of-a-Thousand-Planets-(France)#tab=summary,180000000,40479370,215098356,17007624,PG-13,Adventure,3553,129,,PROFIT
146,28-05-2014,Maleficent,/movie/Maleficent#tab=summary,180000000,241407328,758536735,69431298,PG,Adventure,3948,97,,PROFIT
147,01-03-2022,The Batman,/movie/Batman-The-(2021)#tab=summary,200000000,369345583,767820302,134008624,PG-13,Action,4417,175,,PROFIT
148,18-11-2005,Harry Potter and the Goblet of Fire,/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary,150000000,290201752,886746240,102685961,PG-13,Adventure,3858,150,,PROFIT
149,16-11-2007,Beowulf,/movie/Beowulf#tab=summary,150000000,82280579,195080579,27515871,PG-13,Adventure,3249,115,,PROFIT
150,27-10-2017,Coco,/movie/Coco-(2017)#tab=summary,175000000,210460015,797666425,50802605,PG,Musical,3987,105,,PROFIT
151,04-05-2000,Gladiator,/movie/Gladiator-(2000)#tab=summary,103000000,187683805,456435588,34819017,R,Action,3188,154,,PROFIT
152,29-05-2017,Wonder Woman,/movie/Wonder-Woman-(2017)#tab=summary,150000000,412563408,818058221,103251471,PG-13,Action,4165,141,,PROFIT
153,21-11-2003,Dr. Seuss’ The Cat in the Hat,/movie/Dr-Seuss-The-Cat-in-the-Hat-(2003)#tab=summary,109000000,101018283,133818283,38329160,PG,Adventure,3467,82,,PROFIT
154,12-06-2015,Inside Out,/movie/Inside-Out-(2015)#tab=summary,175000000,356461711,853003563,90440272,PG,Adventure,4158,95,,PROFIT
155,11-12-2009,The Lovely Bones,/movie/Lovely-Bones-The#tab=summary,95000000,44114232,94894448,116616,PG-13,Drama,2638,135,,LOSS
156,16-12-2021,The Matrix Resurrections,/movie/Matrix-Resurrections-The-(2021)#tab=summary,190000000,37686805,156467817,10749011,R,Action,3552,148,,LOSS
157,23-04-2019,Avengers: Endgame,/movie/Avengers-Endgame-(2019)#tab=summary,25014680,858373000,2797800564,357115007,PG-13,Action,4662,181,,PROFIT
158,19-04-2013,Oblivion,/movie/Oblivion-(2013)#tab=summary,120000000,89107235,287916633,37054485,PG-13,Thriller/Suspense,3792,125,,PROFIT
159,14-05-2014,Godzilla,/movie/Godzilla-(2014)#tab=summary,160000000,200676069,529076069,93188384,PG-13,Action,3952,123,,PROFIT
160,13-10-2017,Geostorm,/movie/Geostorm#tab=summary,100000000,33700160,220796009,13707376,PG-13,Thriller/Suspense,3246,109,,PROFIT
161,28-07-1995,Waterworld,/movie/Waterworld#tab=summary,175000000,88246220,264246220,21171780,PG-13,Action,2420,135,,PROFIT
162,10-11-2004,The Polar Express,/movie/Polar-Express-The#tab=summary,170000000,188578855,312719437,23325035,G,Adventure,3650,92,,PROFIT
163,24-11-2004,Alexander,/movie/Alexander#tab=summary,155000000,34297191,167297191,13687087,R,Action,2445,175,,PROFIT
